Note:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These data are presented in a raw, basic format and once processed, they are used to generate Ofcom’s UK and ISP comparative fixed-line broadband performance analysis. To calculate the figures in the report, additional weighting and distance normalisation are applied to the data, and the complex nature of this means that care should be taken when attempting to replicate the published report. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Distance band,Distance band used for weighting,Urban/rural,Market,ISP,Technology,Headline speed,Download speed (Mbit/s) 24 hrs,Download speed (Mbit/s) Max,Download speed (Mbit/s) 8-10pm weekday,Upload speed (Mbit/s)24-hour,Upload speed (Mbit/s)Max,Upload speed (Mbit/s)8-10pm weekday,DNS resolution (ms)24-hour,DNS failure (%)24-hour,DNS resolution (ms)8-10pm weekday,DNS failure (%)8-10pm weekday,Jitter up (ms)24-hour,Jitter down (ms)24-hour,Jitter up (ms)8-10pm weekday,Jitter down (ms)8-10pm weekday,Latency (ms)24-hour,Packet loss (%)24-hour,Latency (ms)8-10pm weekday,Packet loss (%)8-10pm weekday,Web page (ms)24-hour,Web page (ms)8-10pm weekday,isp weights,nat weights, , , , , , , , 
1389,1635-1992,,Urban,3,Sky,FTTx,40,37.64,37.91,37.68,9.69,10,9.7,13.39,0,12.57,0,0.23,0.17,0.23,0.19,9.04,0,9.17,0,192.37,203.67,1,0.07,,,,,,,,
1390,2563-5000,,Urban,1,BT,DSL,20,1.94,2.64,1.88,0.74,1,0.73,32.08,0,31.65,0,0.77,0.67,,,30.53,0,30.16,0,1750.95,1787.38,0,0.25,,,,,,,,
1393,1143-1367,,Urban,3,BT,DSL,20,14.6,14.69,14.6,1.19,1,1.19,14.74,0,14.87,0,0.42,0.41,0.42,0.42,13.47,0,13.52,0,341.59,355.59,1.07,0.13,,,,,,,,
1396,5000+,,Rural,1,Miscellaneous,DSL,8,0.84,1.14,0.81,0.37,0,0.37,75.05,0,72.06,0,1.11,1.91,1.1,4.71,64.22,0,64.08,0,5080.3,5760.64,0,0.15,,,,,,,,
1401,1992-2563,1992-5000,Urban,3,Virgin,Cable,60,62.58,62.68,62.53,3.04,3,3.04,15.32,0,14.96,0,1.41,0.19,1.57,0.23,18.47,0,18.81,0,318.09,297.56,1,0.06,,,,,,,,
1403,5000+,,,2,Sky,FTTx,40,37.67,37.99,37.67,9.75,10,9.77,30.21,0,28.82,0,0.82,0.33,0.44,0.34,20.48,0,20.13,0,360.29,372.2,1,0,,,,,,,,
1404,1143-1367,,,2,Sky,FTTx,40,37.32,38.32,37.05,9.71,10,9.7,28.28,0,27.48,0,0.34,0.24,0.34,0.32,18.97,0,18.86,0,313.36,320.41,1,0,,,,,,,,
1407,2563-5000,,Urban,3,Sky,LLU,20,2.48,3.53,2.28,0.91,1,0.89,21.34,0,22.97,0.01,0.55,0.59,0.55,0.8,21.09,0,21.57,0,2106.56,2408.62,2.18,0.38,,,,,,,,
1408,1992-2563,,Urban,3,BT,DSL,8,2.15,2.6,2.16,0.43,1,0.42,37.5,0,37.28,0,1.17,0.61,1.17,0.63,36.77,0,36.75,0,1751.99,1909.62,,0.14,,,,,,,,
1409,1992-2563,,Urban,3,Plusnet,DSL,8,2.17,2.82,2.21,0.59,1,0.6,33.69,0.01,34.19,0.02,0.66,0.56,0.64,0.71,32.11,0,32.34,0.01,1840.14,1899.56,,0,,,,,,,,
1411,1992-2563,,Urban,3,Plusnet,FTTx,40,34.53,35.87,31.63,9.64,10,9.64,11.36,0,13.18,0.02,0.38,0.36,0.38,0.71,10.07,0,10.7,0,247.04,459.43,1,0,,,,,,,,
1412,0-385,0-582,Urban,2,Virgin,Cable,60,61.64,62.66,61.36,3,3,2.99,13.12,0,13.5,0.01,3.04,0.43,3.6,0.6,12.21,0,12.97,0,222.06,228.91,1,0.01,,,,,,,,
1415,385-582,,Urban,3,Sky,LLU,20,15.92,16.54,16.19,1.13,1,1.13,23.88,0,22.87,0,0.65,0.48,0.72,0.52,23.7,0,23.36,0,1212.01,1256.95,0.7,0.11,,,,,,,,
1417,2563-5000,,Rural,2,BT,DSL,20,0.99,1.12,0.98,0.71,1,0.7,21.35,0,23.08,0,0.61,0.78,0.6,1.23,16.99,0,16.73,0,4725.53,5054.21,1.07,0.22,,,,,,,,
1420,1143-1367,,Urban,3,Sky,LLU,20,7.87,7.94,7.88,0.99,1,0.98,24.84,0,24.08,0,0.5,0.32,0.58,0.34,24.52,0,24.63,0,847.9,887.52,0.95,0.22,,,,,,,,
1421,1143-1367,,Urban,3,AOL,DSL,20,9.88,11.32,9.69,0.92,1,0.89,36.4,0,36.33,0,0.85,0.88,0.93,0.93,34.18,0,34.17,0,575.89,564.74,,0.44,,,,,,,,
1422,582-763,,Urban,1,Plusnet,DSL,8,6.6,6.87,6.47,0.42,1,0.42,32.55,0,33.35,0.04,0.72,0.36,0.72,0.51,31.78,0,32.03,0,796.42,928.12,0,0.02,,,,,,,,
1426,1635-1992,,Urban,3,BT,FTTx,80,59.92,63.75,58.99,17.48,19,17.05,8.83,0,9.08,0,0.47,0.38,0.71,0.47,7.54,0,7.89,0,141.35,134.39,1,0,,,,,,,,
1427,2563-5000,,Urban,3,Sky,LLU,20,3.95,4.06,3.94,0.62,1,0.6,47.7,0,47.74,0,1.37,0.43,1.38,0.43,48.11,0,48.1,0,2422.67,2403.66,2.18,0.38,,,,,,,,
1428,0-385,,Urban,3,BT,DSL,20,9.39,9.79,9.47,0.86,1,0.86,28.12,0,28.14,0.01,0.7,0.44,0.8,0.55,26.93,0,27.03,0,610.1,632.55,0.79,0.06,,,,,,,,
1429,5000+,,Urban,4,Karoo,DSL,20,10.9,11.62,11.01,0.87,1,0.86,12.7,0,12.91,0,0.59,0.83,0.63,0.87,12.01,0,11.81,0,1096.48,1068.62,,0,,,,,,,,
1433,1992-2563,,Urban,1,BT,DSL,8,3.81,4.39,3.72,0.08,0,0.06,27.96,0.01,27.7,0,43.76,0.97,40.29,1.32,26.76,0,27.06,0,5810.41,4504.06,0,0.07,,,,,,,,
1435,1635-1992,,Urban,3,Sky,FTTx,40,34.56,37.91,34.68,9.67,10,9.69,16.14,0,15.07,0,0.37,0.36,0.37,0.45,15.75,0,15.8,0,454.24,418.24,1,0,,,,,,,,
1437,0-385,,Urban,3,Sky,LLU,20,14.65,15.24,14.76,1.02,1,1.03,22.76,0,22.64,0,1.31,0.47,1.2,0.44,21.11,0,21.09,0,777.28,442.15,0.7,0.11,,,,,,,,
1441,1992-2563,,Urban,3,Virgin,Cable,20,20.21,20.41,20.16,1.16,1,1.17,14.27,0,15.48,0,3.05,0.29,4.71,0.44,14.93,0,16.51,0,386.28,392.11,1,0.4,,,,,,,,
1443,1143-1367,,Urban,3,BT,FTTx,80,69.76,71.38,69.3,18.76,19,18.77,14.48,0,14.55,0,0.33,0.39,0.34,0.43,13.25,0,13.3,0,217.2,256.51,1,0,,,,,,,,
1445,1635-1992,,Urban,3,Sky,FTTx,40,33.38,35.99,33.05,7.18,8,7.17,23.54,0,22.46,0,2.72,0.22,2.66,0.21,18,0,17.28,0,522.17,395.64,1,0,,,,,,,,
1452,1635-1992,1367-1992,Urban,3,Virgin,Cable,60,50,62.67,37.27,3.03,3,3.04,17.51,0,17.97,0,1.71,0.34,2.22,0.61,14.13,0,14.98,0,278.67,295.47,1,0.04,,,,,,,,
1454,582-763,,Urban,3,Virgin,Cable,50,52.49,54.66,50.99,3.09,3,3.06,9.44,0,9.09,0,2.16,0.28,2.36,0.77,9.4,0,9.71,0,146.61,169.79,1,0.02,,,,,,,,
1455,385-582,,Urban,2,Plusnet,DSL,20,13.86,13.94,13.73,1.04,1,1.03,26.48,0,28.79,0.04,0.54,0.44,0.58,0.76,25.01,0,25.73,0,484.74,496.12,0.57,0,,,,,,,,
1456,1635-1992,1321-2104,Urban,3,TalkTalk,LLU,20,6.22,6.26,6.22,0.64,1,0.63,30.34,0,30.47,0,0.56,0.49,0.59,0.52,34.8,0,34.95,0,1112.9,1289.54,1.55,0.25,,,,,,,,
1459,2563-5000,1992-5000,Urban,3,TalkTalk,FTTx,80,64.45,74.65,59.91,18.71,19,18.61,17.67,0,17.09,0,0.35,0.37,0.52,0.55,21.69,0,21.86,0,314.08,323.84,1,0.09,,,,,,,,
1460,2563-5000,,Rural,3,Plusnet,FTTx,40,36,36.81,35.59,9.76,10,9.77,23.78,0.01,24.01,0.08,0.42,0.24,0.31,0.31,22.7,0,22.69,0,343.32,356.51,1,0,,,,,,,,
1461,1992-2563,,Urban,3,Sky,DSL,8,1.13,1.23,1.12,0.54,1,0.55,29.11,0,27.92,0,0.77,0.62,0.78,0.62,27.09,0,27.08,0,3566.4,3620.7,,0,,,,,,,,
1463,1367-1635,,Urban,3,BT,FTTx,80,72.87,74.94,73.25,18.81,19,18.79,21.86,0,21.94,0,0.3,0.33,0.3,0.34,20.1,0,20.07,0,312.5,285.05,1,0,,,,,,,,
1464,582-763,,,2,Sky,LLU,20,17.48,19.08,17.36,1.02,1,1.02,28.14,0,27.44,0,0.53,0.38,0.49,0.43,18.84,0,18.94,0,1355.67,1297.69,0.87,0,,,,,,,,
1465,2563-5000,,Urban,3,BT,FTTx,80,40.53,44.23,40.91,8.94,9,8.93,24.37,0,24.26,0,0.7,0.43,0.43,0.45,23.68,0,23.48,0,358.04,361.96,1,0,,,,,,,,
1470,1992-2563,1992-5000,Urban,3,Virgin,Cable,60,59.71,63.08,54.48,3.27,3,3.23,13.58,0,15.99,0.02,4.33,0.32,5.95,0.71,12.4,0,15.13,0,284.19,318.54,1,0.06,,,,,,,,
1474,0-385,0-1321,Urban,1,TalkTalk,DSL,20,12.65,13.9,12.59,0.78,1,0.77,26.19,0,27.73,0,0.93,0.49,1.16,0.65,16.05,0,16.15,0,397.25,436.04,0,0.04,,,,,,,,
1483,1635-1992,1367-1992,Urban,3,Virgin,Cable,60,58.1,62.67,57.58,2.89,3,2.93,24.95,0,21.4,0,7.51,0.21,5.69,0.26,13.07,0,12.65,0,355.9,304.71,1,0.04,,,,,,,,
1485,1635-1992,,Urban,3,TalkTalk,FTTx,40,32.99,37.68,33.01,1.92,2,1.92,,,,,0.49,0.37,0.52,0.42,12.75,0,12.82,0,,,1,0,,,,,,,,
1486,1367-1635,1367-1992,Urban,3,Orange,DSL,20,4.8,5.46,4.72,0.83,1,0.83,,,,,1.07,0.87,0.98,2.27,24.13,0,30.58,0,,,1.63,0.08,,,,,,,,
1488,0-385,,Urban,3,Sky,LLU,20,18.86,20.41,18.7,1.15,1,1.14,7.62,0,7.36,0,0.51,0.39,0.56,0.53,6.3,0,6.38,0,1642.8,1907.74,0.7,0.11,,,,,,,,
1490,582-763,,Urban,3,BT,FTTx,80,74.37,74.94,73.81,18.84,21,18.84,14.49,0,14.54,0,0.2,0.19,0.21,0.23,12.67,0,12.6,0,206.55,210.36,1,0,,,,,,,,
1491,1635-1992,,Urban,3,BT,FTTx,80,74.32,75.01,73.77,18.84,19,18.84,14.08,0,14.19,0,0.26,0.24,0.26,0.28,13.52,0,13.24,0,228.12,226.31,1,0.08,,,,,,,,
1494,1143-1367,,Urban,2,BT,FTTx,80,54.56,56.3,54.23,18.8,19,18.81,16.54,0,16.61,0,0.32,0.34,0.32,0.35,15.21,0,15.19,0,228.87,244.89,1,0,,,,,,,,
1499,1635-1992,1367-1992,Urban,3,Plusnet,FTTx,80,66.23,73.38,67.05,18.82,19,18.75,16.09,0,16.17,0,0.26,0.27,0.3,0.52,13.56,0,13.81,0,203.69,213.05,1,0,,,,,,,,
1500,582-763,0-1321,Urban,3,TalkTalk,LLU,20,15.87,16.73,15.91,0.86,1,0.86,22.33,0,21.91,0,0.84,0.39,0.87,0.43,24.77,0,24.92,0,462.51,481.36,1.55,0.07,,,,,,,,
1502,0-385,,Urban,3,BT,DSL,20,16.9,17.65,16.94,0.95,1,0.94,17.57,0,17.56,0,0.54,0.3,0.58,0.3,17.51,0,17.9,0,342.76,372.26,0.79,0.06,,,,,,,,
1503,2563-5000,,Urban,3,BT,DSL,20,3.86,3.99,3.84,0.82,1,0.83,38.99,0,38.97,0,0.62,0.54,0.58,0.55,38.24,0,38.24,0,1089.69,1067.5,1.07,0.51,,,,,,,,
1509,0-385,0-1321,Urban,3,TalkTalk,LLU,20,19.31,19.6,19.31,0.86,1,0.87,,,,,0.87,0.37,0.88,0.42,12.63,0,12.74,0,,,0.49,0.07,,,,,,,,
1513,2563-5000,,Urban,3,Sky,FTTx,40,37.33,37.91,37.24,9.4,10,9.33,10.5,0,8.79,0,0.36,0.34,0.36,0.4,10.7,0,10.86,0,246.61,176.33,1,0.16,,,,,,,,
1523,763-946,0-1321,Urban,3,TalkTalk,LLU,20,13.89,14.78,13.74,0.89,1,0.89,34.88,0,34.97,0,2.91,9.64,2.89,9.55,20.89,0,20.87,0,625.48,683.95,1.55,0.13,,,,,,,,
1525,763-946,,Urban,2,Orange,FTTx,40,30.52,37.8,29.99,9.91,11,9.94,32.63,0,32.68,0.01,0.38,0.49,0.38,1.25,22.35,0,22.81,0,416.36,435.2,1,0,,,,,,,,
1526,763-946,,Urban,3,Sky,LLU,20,3.03,3.07,3.03,0.68,1,0.68,62.52,0,61.98,0,0.72,0.43,0.72,0.45,60.62,0,60.63,0,2012.01,1804.39,0.87,0.19,,,,,,,,
1534,1635-1992,,Urban,3,Orange,DSL,8,1.32,1.42,1.35,0.78,1,0.78,,,,,0.86,0.64,0.87,1,24.45,0,25.09,0,,,,0,,,,,,,,
1539,1992-2563,,Urban,3,Sky,DSL,8,3.81,4.53,3.56,0.42,1,0.43,,,,,2.45,0.64,1.71,0.94,32.36,0,33.01,0,,,,0.14,,,,,,,,
1550,763-946,,Urban,3,Sky,DSL,8,6.28,6.57,6.3,0.97,1,0.97,20.42,0,21.12,0,0.58,0.42,0.66,0.41,18.51,0,20.6,0,1507.5,1420.29,,0,,,,,,,,
1564,1367-1635,1367-1992,Urban,3,Virgin,Cable,60,52.88,62.67,42.65,3.04,3,3.05,10.55,0,11.27,0,1.44,0.4,1.54,0.84,11.71,0,12.27,0,217.58,245.38,1,0.04,,,,,,,,
1565,2563-5000,,Rural,3,AOL,DSL,8,2.28,2.54,2.15,0.6,1,0.54,42.76,0,44.23,0,0.61,0.6,0.64,0.7,37.78,0,38.43,0,2124.72,2795.68,,0,,,,,,,,
1571,1367-1635,,,2,BT,DSL,20,5.37,8.39,5.2,0.92,1,0.92,26.17,0,26.29,0,0.64,0.52,0.59,0.52,25.63,0,25.86,0,921.19,975.68,0.88,0,,,,,,,,
1574,1635-1992,1367-1992,Urban,3,Virgin,Cable,60,62.25,66.03,62.43,6.37,7,6.37,18.67,0,19.22,0,2.08,0.19,2.12,0.32,14.01,0,14.29,0,232.63,236.01,1,0.04,,,,,,,,
1583,1143-1367,,Urban,3,BT,FTTx,40,19.96,25.48,19.72,9.68,10,9.66,30.03,0,29.81,0,0.48,0.63,0.47,0.71,29.16,0,29.64,0,485.24,636.05,1,0,,,,,,,,
1589,0-385,,Urban,1,BT,DSL,8,6.5,6.93,6,0.39,0,0.39,31.19,0,31.63,0,0.9,0.49,0.84,0.74,30.19,0,30.83,0,765.14,787.99,0,0.02,,,,,,,,
1595,0-385,,Urban,3,Sky,FTTx,40,36.16,38.02,35.89,9.66,10,9.67,12.65,0,12.62,0,0.31,0.28,0.37,0.42,16.84,0,17.62,0,349.51,423.22,1,0,,,,,,,,
1599,582-763,,Urban,3,Sky,LLU,20,10.43,10.6,10.42,0.92,1,0.93,20.33,0,20.25,0,0.57,0.29,0.55,0.31,15.73,0,15.45,0,951.28,717.82,0.87,0.11,,,,,,,,
1604,1992-2563,,Urban,3,TalkTalk,FTTx,40,31.64,35.46,31.87,1.89,2,1.91,21.31,0,21.05,0,0.5,0.48,0.5,0.42,25.87,0,26.03,0,410.73,385.5,1,0.07,,,,,,,,
1608,1635-1992,,Urban,3,BT,FTTx,80,69.28,74.13,69.11,17.26,18,17.27,21.62,0,21.61,0,0.3,0.33,0.3,0.35,20.67,0,20.49,0,301.63,349.42,1,0,,,,,,,,
1615,2563-5000,,Rural,3,BT,FTTx,40,26.38,27.99,26.48,5.74,6,5.75,30.37,0,30.56,0,0.38,0.34,0.37,0.4,29.22,0,29.33,0,451.97,462.19,1,0.24,,,,,,,,
1616,0-385,,Urban,2,BT,FTTx,80,70.95,72.06,70.73,18.78,19,18.77,13.27,0,13.33,0,0.27,0.29,0.27,0.32,11.96,0,12.1,0,193.31,224.69,1,0,,,,,,,,
1618,2563-5000,,Rural,1,BT,DSL,8,1.76,1.89,1.72,0.38,0,0.39,51.8,0.02,51.37,0.02,0.73,0.51,0.72,0.55,51.2,0.02,51.02,0.03,3612.57,3685.43,0,0.13,,,,,,,,
1635,1367-1635,,Urban,2,Sky,LLU,20,8.49,8.67,8.48,1.01,1,0.99,28.55,0,28.14,0,0.7,1.08,0.79,1.03,28.51,0,28.67,0,1101.38,1371.25,1.09,0.14,,,,,,,,
1637,385-582,0-582,Urban,3,Plusnet,FTTx,80,65.4,72.88,54.16,18.49,19,18.35,13.62,0,14.53,0,0.23,0.25,0.27,0.68,12.77,0,13.12,0,219.05,227.57,1,0,,,,,,,,
1641,582-763,,Urban,3,BT,DSL,20,13.21,13.63,13.23,0.79,1,0.68,34.67,0.02,63.02,0.05,14.01,0.51,30.62,0.57,33.26,0.02,69.48,0.06,1705.69,4483.08,1.36,0.06,,,,,,,,
1649,0-385,,,0,AAisp,DSL,20,16.25,17.42,16.12,1.12,1,1.12,48.9,0,45.38,0,0.98,0.57,0.87,0.53,34.92,0,35.32,0,548.29,539.19,,0,,,,,,,,
1653,2563-5000,1992-5000,Urban,3,Virgin,Cable,60,61.17,63.09,60.09,3.32,4,3.33,16.5,0,17.65,0.01,3.18,0.31,3.99,0.62,17.43,0,18.45,0,354.03,328.5,1,0.06,,,,,,,,
1658,1635-1992,,Urban,3,BT,DSL,8,0.73,0.83,0.7,0.41,0,0.39,33.68,0,36.19,0,0.69,0.55,0.7,0.69,33.28,0,39.63,0.01,5679.91,6068.86,,0.13,,,,,,,,
1661,2563-5000,,Rural,1,BT,FTTx,15-fibre,18.23,19.78,18.9,2.43,3,2.42,34.74,0,33.31,0,0.8,0.56,0.86,0.35,33.54,0,40.2,0,542.62,529.2,0,0.05,,,,,,,,
1668,1635-1992,,Urban,3,BT,FTTx,80,42.19,43.33,41.87,16.11,18,16.25,16.59,0,16.81,0,0.3,0.29,0.29,0.5,15.76,0,15.81,0,240.68,247.15,1,0,,,,,,,,
1670,1992-2563,1992-5000,Urban,3,TalkTalk,FTTx,80,55.45,56.67,55.22,11.78,12,11.77,8.54,0,8.59,0,0.5,0.37,0.72,0.43,11.47,0,11.72,0,207.51,260.08,1,0,,,,,,,,
1672,582-763,,Rural,1,Miscellaneous,DSL,20,12.21,14.31,11.64,1.04,1,1,34.27,0,34.86,0,0.82,1.55,0.9,3.03,26.57,0,27.44,0,574.21,611.47,0,0.03,,,,,,,,
1674,0-385,,Urban,2,Sky,LLU,20,17.59,18.94,16.92,1.03,1,0.99,15.2,0,14.76,0,1.95,0.35,1.56,0.32,17.96,0,19.81,0,1120.34,1010.2,0.7,0.07,,,,,,,,
1678,1992-2563,2104-5000,Rural,3,TalkTalk,LLU,20,3.35,3.46,3.36,0.57,1,0.57,25.36,0,24.5,0,0.63,0.39,0.64,0.44,28.31,0,27.71,0,2028.07,1836.01,1,0.19,,,,,,,,
1680,763-946,,Rural,1,BT,DSL,8,5.53,6.92,4.71,0.39,1,0.4,56.7,0,58.41,0,1.5,0.71,1.46,1.4,54.69,0,56.36,0,1275.76,1567.31,0,0.02,,,,,,,,
1681,1143-1367,,Urban,4,Karoo,LLU,20,8.7,10.07,8.71,0.99,1,1,14.9,0,13.29,0,0.48,0.37,0.5,0.39,10.84,0,10.88,0,501.74,582.58,1.1,0,,,,,,,,
1695,0-385,,Urban,3,Miscellaneous,DSL,20,6.28,12.45,5.05,1.17,1,1.17,76.19,0,79.97,0.01,4.9,3,6.77,4.13,73.62,0.01,78.68,0.01,2993.73,3760.28,,0.08,,,,,,,,
